"submission_date","created_at","date_diff"
"09/07/2020","03/11/2022 01:59:22 PM",-550
"09/08/2020","03/11/2022 01:59:22 PM",-549
"09/09/2020","03/11/2022 01:59:22 PM",-548
"09/10/2020","03/11/2022 01:59:22 PM",-547
"09/11/2020","03/11/2022 01:59:22 PM",-546
"09/12/2020","03/11/2022 01:59:22 PM",-545
"09/13/2020","03/11/2022 01:59:22 PM",-544
"09/14/2020","03/11/2022 01:59:22 PM",-543
"09/15/2020","03/11/2022 01:59:22 PM",-542
"09/16/2020","03/11/2022 01:59:22 PM",-541
"09/17/2020","03/11/2022 01:59:22 PM",-540
"09/18/2020","03/11/2022 01:59:22 PM",-539
"09/19/2020","03/11/2022 01:59:22 PM",-538
"09/20/2020","03/11/2022 01:59:22 PM",-537
"09/21/2020","03/11/2022 01:59:22 PM",-536
"09/22/2020","03/11/2022 01:59:22 PM",-535
"09/23/2020","03/11/2022 01:59:22 PM",-534
"09/24/2020","03/11/2022 01:59:22 PM",-533
"09/25/2020","03/11/2022 01:59:22 PM",-532
"09/26/2020","03/11/2022 01:59:22 PM",-531
"09/27/2020","03/11/2022 01:59:22 PM",-530
"09/28/2020","03/11/2022 01:59:22 PM",-529
"09/29/2020","03/11/2022 01:59:22 PM",-528
"09/30/2020","03/11/2022 01:59:22 PM",-527
"10/01/2020","03/11/2022 01:59:22 PM",-526
"10/02/2020","03/11/2022 01:59:22 PM",-525
"10/03/2020","03/11/2022 01:59:22 PM",-524
"10/04/2020","03/11/2022 01:59:22 PM",-523
"10/05/2020","03/11/2022 01:59:22 PM",-522
"10/06/2020","03/11/2022 01:59:22 PM",-521
"10/07/2020","03/11/2022 01:59:22 PM",-520
"10/08/2020","03/11/2022 01:59:22 PM",-519
"10/09/2020","03/11/2022 01:59:22 PM",-518
"10/10/2020","03/11/2022 01:59:22 PM",-517
"10/11/2020","03/11/2022 01:59:22 PM",-516
"10/12/2020","03/11/2022 01:59:22 PM",-515
"10/13/2020","03/11/2022 01:59:22 PM",-514
"10/14/2020","03/11/2022 01:59:22 PM",-513
"10/15/2020","03/11/2022 01:59:22 PM",-512
"10/16/2020","03/11/2022 01:59:22 PM",-511
"10/17/2020","03/11/2022 01:59:22 PM",-510
"10/18/2020","03/11/2022 01:59:22 PM",-509
"10/19/2020","03/11/2022 01:59:22 PM",-508
"10/20/2020","03/11/2022 01:59:22 PM",-507
"10/21/2020","03/11/2022 01:59:22 PM",-506
"10/22/2020","03/11/2022 01:59:22 PM",-505
"10/23/2020","03/11/2022 01:59:22 PM",-504
"10/24/2020","03/11/2022 01:59:22 PM",-503
"10/25/2020","03/11/2022 01:59:22 PM",-502
"10/26/2020","03/11/2022 01:59:22 PM",-501
"10/27/2020","03/11/2022 01:59:22 PM",-500
"10/28/2020","03/11/2022 01:59:22 PM",-499
"10/29/2020","03/11/2022 01:59:22 PM",-498
"10/30/2020","03/11/2022 01:59:22 PM",-497
"10/31/2020","03/11/2022 01:59:22 PM",-496
"11/01/2020","03/11/2022 01:59:22 PM",-495
"04/23/2020","08/31/2021 02:41:21 PM",-495
"04/24/2020","08/31/2021 02:41:21 PM",-494
"11/02/2020","03/11/2022 01:59:22 PM",-494
"11/03/2020","03/11/2022 01:59:22 PM",-493
"04/25/2020","08/31/2021 02:41:21 PM",-493
"04/26/2020","08/31/2021 02:41:21 PM",-492
"11/04/2020","03/11/2022 01:59:22 PM",-492
"11/05/2020","03/11/2022 01:59:22 PM",-491
"04/27/2020","08/31/2021 02:41:21 PM",-491
"11/06/2020","03/11/2022 01:59:22 PM",-490
"11/07/2020","03/11/2022 01:59:22 PM",-489
"11/08/2020","03/11/2022 01:59:22 PM",-488
"11/09/2020","03/11/2022 01:59:22 PM",-487
"11/10/2020","03/11/2022 01:59:22 PM",-486
"11/11/2020","03/11/2022 01:59:22 PM",-485
"11/12/2020","03/11/2022 01:59:22 PM",-484
"11/13/2020","03/11/2022 01:59:22 PM",-483
"11/14/2020","03/11/2022 01:59:22 PM",-482
"11/15/2020","03/11/2022 01:59:22 PM",-481
"11/16/2020","03/11/2022 01:59:22 PM",-480
"11/17/2020","03/11/2022 01:59:22 PM",-479
"11/18/2020","03/11/2022 01:59:22 PM",-478
"11/19/2020","03/11/2022 01:59:22 PM",-477
"11/20/2020","03/11/2022 01:59:22 PM",-476
"11/21/2020","03/11/2022 01:59:22 PM",-475
"11/22/2020","03/11/2022 01:59:22 PM",-474
"11/23/2020","03/11/2022 01:59:22 PM",-473
"11/24/2020","03/11/2022 01:59:22 PM",-472
"11/25/2020","03/11/2022 01:59:22 PM",-471
"11/26/2020","03/11/2022 01:59:22 PM",-470
"11/27/2020","03/11/2022 01:59:22 PM",-469
"11/28/2020","03/11/2022 01:59:22 PM",-468
"11/29/2020","03/11/2022 01:59:22 PM",-467
"11/30/2020","03/11/2022 01:59:22 PM",-466
"12/01/2020","03/11/2022 01:59:22 PM",-465
"12/02/2020","03/11/2022 01:59:22 PM",-464
"12/03/2020","03/11/2022 01:59:22 PM",-463
"12/04/2020","03/11/2022 01:59:22 PM",-462
"12/05/2020","03/11/2022 01:59:22 PM",-461
"12/06/2020","03/11/2022 01:59:22 PM",-460
"12/07/2020","03/11/2022 01:59:22 PM",-459
"12/08/2020","03/11/2022 01:59:22 PM",-458
"12/09/2020","03/11/2022 01:59:22 PM",-457
"12/10/2020","03/11/2022 01:59:22 PM",-456
"12/11/2020","03/11/2022 01:59:22 PM",-455
"12/12/2020","03/11/2022 01:59:22 PM",-454
"12/13/2020","03/11/2022 01:59:22 PM",-453
